nohup: ignoring input
Loading data.
Ready to train network.
/home/omnisky/anaconda3/envs/pytorch/lib/python3.8/site-packages/torchvision/transforms/transforms.py:210: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  warnings.warn("The use of the transforms.Scale transform is deprecated, " +
Epoch:1/30 || Epochiter:173/769 || Yaw:62.3390,Pitch:68.9575,Roll:66.6530||Batchtime:0.7499||ETA:4:46:10
Epoch:1/30 || Epochiter:174/769 || Yaw:58.4735,Pitch:58.5986,Roll:50.2885||Batchtime:0.7482||ETA:4:45:30
Epoch:1/30 || Epochiter:175/769 || Yaw:62.2906,Pitch:66.3679,Roll:38.4518||Batchtime:0.7624||ETA:4:50:56
Epoch:1/30 || Epochiter:176/769 || Yaw:138.6177,Pitch:70.0647,Roll:69.0794||Batchtime:0.7626||ETA:4:50:59
Epoch:1/30 || Epochiter:177/769 || Yaw:65.2672,Pitch:75.8795,Roll:81.7046||Batchtime:0.7332||ETA:4:39:45
Epoch:1/30 || Epochiter:178/769 || Yaw:78.3286,Pitch:107.1825,Roll:77.8287||Batchtime:0.7492||ETA:4:45:51
Epoch:1/30 || Epochiter:179/769 || Yaw:61.7427,Pitch:67.1245,Roll:36.9155||Batchtime:0.7541||ETA:4:47:43
Epoch:1/30 || Epochiter:180/769 || Yaw:49.7393,Pitch:64.5197,Roll:68.0368||Batchtime:0.7371||ETA:4:41:12
Epoch:1/30 || Epochiter:181/769 || Yaw:42.4748,Pitch:71.5535,Roll:41.7767||Batchtime:0.7503||ETA:4:46:13
Epoch:1/30 || Epochiter:182/769 || Yaw:77.8986,Pitch:70.1928,Roll:106.3399||Batchtime:0.7542||ETA:4:47:42
Epoch:1/30 || Epochiter:183/769 || Yaw:47.8624,Pitch:57.5456,Roll:84.4406||Batchtime:0.7204||ETA:4:34:48
Epoch:1/30 || Epochiter:184/769 || Yaw:67.9987,Pitch:58.5750,Roll:53.1183||Batchtime:0.7564||ETA:4:48:32
